
Time (milliseconds),Altitude (meters),Flight Stage (0-4),Filtered Altitude,Second Derivative,

Time (milliseconds),Altitude (meters),Flight Stage (0-4),Filtered Altitude,Second Derivative,
263.00,35.65,2.00,7.13,0.00,
309.00,35.47,2.00,14.22,0.02,
356.00,35.47,2.00,21.32,-0.02,
403.00,35.65,2.00,28.44,0.00,
450.00,35.21,2.00,35.49,0.00,
496.00,35.21,2.00,35.40,-0.00,
543.00,35.54,2.00,35.42,0.00,
589.00,35.25,2.00,35.37,0.00,
636.00,35.25,2.00,35.29,-0.00,
682.00,35.54,2.00,35.36,0.00,
729.00,35.47,2.00,35.41,0.00,
778.00,35.47,2.00,35.40,-0.00,
826.00,35.76,2.00,35.50,0.00,
873.00,35.58,2.00,35.56,0.00,
919.00,35.58,2.00,35.57,-0.00,
966.00,36.01,2.00,35.68,0.00,
1013.00,36.12,2.00,35.81,0.00,
1059.00,36.12,2.00,35.88,-0.00,
1106.00,36.12,2.00,35.99,-0.00,
1153.00,36.08,2.00,36.09,-0.00,
1200.00,36.08,2.00,36.10,-0.00,
1247.00,36.37,2.00,36.15,0.00,
1300.00,36.55,2.00,36.24,0.00,
1347.00,36.59,2.00,36.33,-0.00,
1394.00,36.59,2.00,36.44,-0.00,
1441.00,36.48,2.00,36.52,-0.00,
1487.00,35.97,2.00,36.44,-0.00,
1537.00,35.97,2.00,36.32,-0.00,
1584.00,36.15,2.00,36.23,0.00,
1630.00,36.30,2.00,36.17,0.00,
1678.00,36.30,2.00,36.14,-0.00,
1725.00,36.08,2.00,36.16,-0.00,
1772.00,35.75,2.00,36.11,-0.00,
1819.00,35.75,2.00,36.03,-0.00,
1865.00,35.75,2.00,35.92,0.00,
1912.00,36.07,2.00,35.88,-0.00,
1959.00,36.07,2.00,35.88,0.00,
2006.00,36.07,2.00,35.94,-0.00,
2052.00,35.93,2.00,35.98,0.00,
2099.00,35.93,2.00,36.02,-0.00,
2147.00,35.49,2.00,35.90,0.00,
2194.00,35.71,2.00,35.83,-0.00,
2243.00,35.71,2.00,35.75,0.00,
2290.00,35.46,2.00,35.66,-0.00,
2337.00,35.42,2.00,35.56,-0.00,
2384.00,35.42,2.00,35.55,0.00,
2430.00,35.57,2.00,35.52,0.00,
2477.00,35.86,2.00,35.55,0.00,
2524.00,35.86,2.00,35.63,0.00,
