Time (milliseconds),Altitude (meters),Flight Stage (0-4),Filtered Altitude,Second Derivative
,,,,
Time (milliseconds),Altitude (meters),Flight Stage (0-4),Filtered Altitude,Second Derivative
263,35.65,2,7.13,0
309,35.47,2,14.22,0.02
356,35.47,2,21.32,-0.02
403,35.65,2,28.44,0
450,35.21,2,35.49,0
496,35.21,2,35.4,0
543,35.54,2,35.42,0
589,35.25,2,35.37,0
636,35.25,2,35.29,0
682,35.54,2,35.36,0
729,35.47,2,35.41,0
778,35.47,2,35.4,0
826,35.76,2,35.5,0
873,35.58,2,35.56,0
919,35.58,2,35.57,0
966,36.01,2,35.68,0
1013,36.12,2,35.81,0
1059,36.12,2,35.88,0
1106,36.12,2,35.99,0
1153,36.08,2,36.09,0
1200,36.08,2,36.1,0
1247,36.37,2,36.15,0
1300,36.55,2,36.24,0
1347,36.59,2,36.33,0
1394,36.59,2,36.44,0
1441,36.48,2,36.52,0
1487,35.97,2,36.44,0
1537,35.97,2,36.32,0
1584,36.15,2,36.23,0
1630,36.3,2,36.17,0
1678,36.3,2,36.14,0
1725,36.08,2,36.16,0
1772,35.75,2,36.11,0
1819,35.75,2,36.03,0
1865,35.75,2,35.92,0
1912,36.07,2,35.88,0
1959,36.07,2,35.88,0
2006,36.07,2,35.94,0
2052,35.93,2,35.98,0
2099,35.93,2,36.02,0
2147,35.49,2,35.9,0
2194,35.71,2,35.83,0
2243,35.71,2,35.75,0
2290,35.46,2,35.66,0
2337,35.42,2,35.56,0
2384,35.42,2,35.55,0
2430,35.57,2,35.52,0
2477,35.86,2,35.55,0
2524,35.86,2,35.63,0
2571,35.31,2,35.6,0
2618,35.21,2,35.56,0
2665,35.46,2,35.54,0
2718,35.46,2,35.46,0
2765,35.63,2,35.41,0
2812,35.27,2,35.4,0
2858,35.27,2,35.42,0
2905,35.81,2,35.49,0
2952,35.95,2,35.59,0
3002,35.95,2,35.65,0
3049,36.09,2,35.82,0
3096,36.02,2,35.97,0
3143,36.02,2,36.01,0
3189,36.16,2,36.05,0
3236,36.24,2,36.11,0
3283,36.24,2,36.14,0
3330,35.95,2,36.12,0
3376,35.8,2,36.08,0
3423,35.8,2,36.01,0
3471,36.16,2,35.99,0
3518,36.13,2,35.97,0
3564,36.13,2,36,0
3611,35.84,2,36.01,0
3658,36.02,2,36.05,0
3705,36.02,2,36.03,0
