
Time,z-accel,Flight Stage,max drag,x-accel,y-accel
313, 285.00, 2, 285.00, -142.00, 1301.00
390, 286.00, 2, 286.00, -116.00, 1321.00
467, 234.00, 2, 286.00, -132.00, 1320.00
544, 246.00, 2, 286.00, -132.00, 1319.00
621, 256.00, 2, 286.00, -138.00, 1317.00
696, 247.00, 2, 286.00, -147.00, 1308.00
773, 244.00, 2, 286.00, -132.00, 1325.00
850, 13.00, 3, 286.00, -125.00, 1320.00
927, 270.00, 2, 286.00, -131.00, 1320.00
1004, 273.00, 2, 286.00, -128.00, 1308.00
1080, 270.00, 2, 286.00, -134.00, 1326.00
1164, 240.00, 2, 286.00, -119.00, 1319.00
1242, 269.00, 2, 286.00, -149.00, 1319.00
1319, 265.00, 2, 286.00, -124.00, 1320.00
1396, 261.00, 2, 286.00, -146.00, 1315.00
1474, 276.00, 2, 286.00, -142.00, 1331.00
1550, 261.00, 2, 286.00, -154.00, 1314.00
1627, 253.00, 2, 286.00, -143.00, 1326.00
1704, 273.00, 2, 286.00, -146.00, 1308.00
1781, 254.00, 2, 286.00, -109.00, 1329.00
1858, 274.00, 2, 286.00, -129.00, 1326.00
1934, 241.00, 2, 286.00, -124.00, 1327.00
2011, 268.00, 2, 286.00, -137.00, 1316.00
2091, 251.00, 2, 286.00, -128.00, 1315.00
2168, 254.00, 2, 286.00, -128.00, 1321.00
2245, 275.00, 2, 286.00, -137.00, 1308.00
2321, 272.00, 2, 286.00, -137.00, 1318.00
2398, 274.00, 2, 286.00, -133.00, 1314.00
2475, 258.00, 2, 286.00, -135.00, 1327.00
2552, 248.00, 2, 286.00, -133.00, 1328.00
2629, 273.00, 2, 286.00, -145.00, 1316.00
2705, 227.00, 2, 286.00, -154.00, 1313.00
2782, 262.00, 2, 286.00, -141.00, 1322.00
2859, 263.00, 2, 286.00, -138.00, 1309.00
2936, 282.00, 2, 286.00, -123.00, 1322.00
3016, 278.00, 2, 286.00, -139.00, 1320.00
3093, 275.00, 2, 286.00, -121.00, 1323.00
3169, 285.00, 2, 286.00, -139.00, 1327.00
3246, 252.00, 2, 286.00, -125.00, 1325.00
3323, 267.00, 2, 286.00, -136.00, 1316.00
3400, 258.00, 2, 286.00, -118.00, 1324.00
3482, 271.00, 2, 286.00, -122.00, 1317.00
3560, 280.00, 2, 286.00, -130.00, 1316.00
3636, 275.00, 2, 286.00, -123.00, 1316.00
3714, 250.00, 2, 286.00, -144.00, 1321.00
3791, 274.00, 2, 286.00, -140.00, 1327.00
3868, 280.00, 2, 286.00, -142.00, 1314.00
3947, 281.00, 2, 286.00, -138.00, 1321.00
4023, 264.00, 2, 286.00, -139.00, 1314.00
4100, 248.00, 2, 286.00, -141.00, 1324.00
4177, 290.00, 2, 290.00, -128.00, 1329.00
4254, 253.00, 2, 290.00, -132.00, 1321.00
4331, 269.00, 2, 290.00, -133.00, 1319.00
4408, 282.00, 2, 290.00, -123.00, 1332.00
4485, 250.00, 2, 290.00, -123.00, 1320.00
4562, 292.00, 2, 292.00, -132.00, 1327.00
4639, 272.00, 2, 292.00, -138.00, 1326.00
4716, 266.00, 2, 292.00, -134.00, 1314.00
4792, 286.00, 2, 292.00, -155.00, 1308.00
4871, 270.00, 2, 292.00, -122.00, 1328.00
4949, 263.00, 2, 292.00, -132.00, 1311.00
5026, 251.00, 2, 292.00, -137.00, 1307.00
5103, 264.00, 2, 292.00, -129.00, 1292.00
5179, 262.00, 2, 292.00, -143.00, 1331.00
5256, 272.00, 2, 292.00, -158.00, 1319.00
5333, 260.00, 2, 292.00, -132.00, 1308.00
5410, 297.00, 2, 297.00, -144.00, 1315.00
